"bathrm","hf_bathrm","heat","ac","rooms","bedrm","ayb","yr_rmdl","eyb","stories","saledate","price","gba","style","grade","cndtn","extwall","roof","intwall","kitchens","fireplaces","landarea","latitude","longitude","nbhd","ward","quadrant"
2,0,"Forced Air","Y",6,3,1940,2011,1967,2,"2013-11-21",5e+05,1134,"2 Story","Above Average","Very Good","Common Brick","Slate","Hardwood",1,1,5473,40.7488760956132,-74.1243933673763,"D9","Ward 5","NE"
3,0,"Hot Water Rad","Y",6,4,1933,2012,1972,2.25,"2017-01-12",1350000,1819,"2.5 Story Fin","Very Good","Good","Common Brick","Slate","Hardwood",1,2,7964,40.7804925696469,-74.2074159313774,"B2","Ward 4","NW"
2,0,"Warm Cool","Y",7,2,1956,1978,1970,1,"2015-05-08",349000,1428,"1 Story","Good Quality","Average","Common Brick","Comp Shingle","Hardwood",1,2,6750,40.6647219816956,-74.0956858214873,"D2","Ward 7","SE"
3,1,"Warm Cool","Y",9,4,1977,2005,1993,2,"2015-04-17",1275000,3286,"2 Story","Very Good","Good","Wood Siding","Shake","Hardwood",2,2,7848,40.7566574923334,-74.1953688017354,"C3","Ward 3","NW"
2,1,"Hot Water Rad","N",8,4,1923,NA,1950,2,"1993-08-11",277500,2280,"2 Story","Good Quality","Average","Stucco","Slate","Hardwood",1,1,6250,40.7852746385861,-74.1735052496334,"F1","Ward 4","NW"
4,0,"Warm Cool","Y",9,5,1954,NA,1982,1.75,"2014-08-26",1750000,2853,"2 Story","Superior","Good","Brick/Stone","Slate","Carpet",1,3,12499,40.7425646175832,-74.2433288114544,"F2","Ward 3","NW"
2,1,"Hot Water Rad","Y",9,3,1905,NA,1967,2,"2009-10-24",280000,1626,"2 Story","Above Average","Good","Vinyl Siding","Comp Shingle","Hardwood/Carp",1,1,2591,40.6697191146363,-74.131350704099,"A3","Ward 8","SE"
3,1,"Forced Air","Y",7,3,2000,NA,2008,2,"2012-09-26",1060000,1932,"2 Story","Excellent","Very Good","Wood Siding","Comp Shingle","Hardwood/Carp",1,1,5225,40.7284574523771,-74.2411131347471,"D4","Ward 3","NW"
3,0,"Forced Air","Y",5,4,1922,2018,1967,1.25,"2018-05-15",655000,1102,"1.5 Story Fin","Above Average","Good","Vinyl Siding","Built Up","Hardwood",2,1,5542,40.7332247604025,-74.1108696485638,"F8","Ward 5","NE"
4,1,"Warm Cool","Y",9,5,2012,NA,2016,2,"2014-11-21",2150000,3826,"2 Story","Very Good","Excellent","Brick/Stucco","Comp Shingle","Hardwood",1,2,8000,40.7214672978852,-74.2380811424666,"E6","Ward 3","NW"
2,0,"Hot Water Rad","Y",9,6,1912,1955,1974,3,"2004-02-20",1e+06,2632,"3 Story","Superior","Average","Stucco","Comp Shingle","Hardwood",1,1,4982,40.7385623258703,-74.2102098829589,"B4","Ward 3","NW"
1,1,"Forced Air","N",6,4,1972,NA,1974,2,"2018-06-28",205000,1360,"2 Story","Average","Fair","Wood Siding","Built Up","Wood Floor",1,0,4000,40.6923440738545,-74.0713362493492,"D7","Ward 7","SE"
2,2,"Forced Air","Y",8,4,2012,NA,2014,2,"2015-03-12",325000,1624,"2 Story","Above Average","Very Good","Brick/Siding","Comp Shingle","Hardwood/Carp",1,0,4000,40.6919361735662,-74.0684911202126,"D7","Ward 7","SE"
4,1,"Warm Cool","Y",10,4,1994,2008,2006,2,"1994-07-29",660000,3134,"2 Story","Good Quality","Very Good","Brick Veneer","Comp Shingle","Hardwood/Carp",1,3,8740,40.7500143814175,-74.2438593026353,"F2","Ward 3","NW"
1,0,"Hot Water Rad","N",7,3,1935,NA,1947,2,"2005-10-14",257500,1385,"2 Story","Above Average","Average","Common Brick","Comp Shingle","Hardwood",1,0,4824,40.6832204854639,-74.0774942827481,"C4","Ward 7","SE"
3,0,"Warm Cool","Y",7,4,1952,2011,1970,1,"2004-06-26",999000,2330,"1 Story","Very Good","Average","Wood Siding","Metal- Sms","Hardwood",1,1,17853,40.7288394766149,-74.2447115433632,"E6","Ward 3","NW"
